,State,Year,Quarter,Name,Type,Count,Amount
244,assam,2019,3,Others,TOTAL,61396,46973660.73634353
245,assam,2019,4,Peer-to-peer payments,TOTAL,3222143,14083346879.361855
246,assam,2019,4,Recharge & bill payments,TOTAL,2937800,704118873.972094
247,assam,2019,4,Merchant payments,TOTAL,544053,456318130.082201
248,assam,2019,4,Financial Services,TOTAL,9621,3492255.0860687294
249,assam,2019,4,Others,TOTAL,46893,34707757.009855896
250,assam,2020,1,Peer-to-peer payments,TOTAL,4058740,18977446151.768826
251,assam,2020,1,Recharge & bill payments,TOTAL,3897975,971722606.1579468
252,assam,2020,1,Merchant payments,TOTAL,792646,675423852.9512749
253,assam,2020,1,Financial Services,TOTAL,10173,7054325.507515656
254,assam,2020,1,Others,TOTAL,49326,36781411.34368035
255,assam,2020,2,Recharge & bill payments,TOTAL,6045321,1612522828.7163475
256,assam,2020,2,Peer-to-peer payments,TOTAL,3648386,17358374071.26616
257,assam,2020,2,Merchant payments,TOTAL,742400,749018053.2400584
258,assam,2020,2,Financial Services,TOTAL,19814,18130004.687672265
259,assam,2020,2,Others,TOTAL,49278,28255168.009208795
260,assam,2020,3,Peer-to-peer payments,TOTAL,5637893,26646565777.43919
261,assam,2020,3,Recharge & bill payments,TOTAL,5292154,1627282415.9451878
262,assam,2020,3,Merchant payments,TOTAL,1383230,1492484153.3873158
263,assam,2020,3,Financial Services,TOTAL,24954,28452966.026372254
264,assam,2020,3,Others,TOTAL,59480,36605946.74600269
265,assam,2020,4,Peer-to-peer payments,TOTAL,7538478,36013292450.814384
266,assam,2020,4,Recharge & bill payments,TOTAL,5383505,1662189124.4177454
267,assam,2020,4,Merchant payments,TOTAL,2392184,2466913305.59039
268,assam,2020,4,Financial Services,TOTAL,29764,32314809.975261033
269,assam,2020,4,Others,TOTAL,79523,51901628.46643049
270,assam,2021,1,Peer-to-peer payments,TOTAL,9449096,45476079487.10464
271,assam,2021,1,Recharge & bill payments,TOTAL,6494111,2103017761.546533
272,assam,2021,1,Merchant payments,TOTAL,3459132,3657261586.2001615
273,assam,2021,1,Financial Services,TOTAL,34049,41291047.3832124
274,assam,2021,1,Others,TOTAL,75672,48814663.88782827
275,assam,2021,2,Peer-to-peer payments,TOTAL,11668399,51521387890.61253
276,assam,2021,2,Recharge & bill payments,TOTAL,9058005,2657676415.2458973
277,assam,2021,2,Merchant payments,TOTAL,4562669,4914753140.040101
278,assam,2021,2,Financial Services,TOTAL,49671,46106001.498141706
279,assam,2021,2,Others,TOTAL,94161,52549929.267157935
280,bihar,2018,1,Recharge & bill payments,TOTAL,3159922,375559206.7727593
281,bihar,2018,1,Peer-to-peer payments,TOTAL,2052089,5295346761.45083
282,bihar,2018,1,Financial Services,TOTAL,194295,33999413.87739952
283,bihar,2018,1,Merchant payments,TOTAL,138885,139827755.73655012
284,bihar,2018,1,Others,TOTAL,279111,201025034.17960182
285,bihar,2018,2,Recharge & bill payments,TOTAL,4346849,700649777.0602969
286,bihar,2018,2,Peer-to-peer payments,TOTAL,3447898,12141448845.077621
287,bihar,2018,2,Merchant payments,TOTAL,311487,318571872.8216527
288,bihar,2018,2,Financial Services,TOTAL,267433,45332532.096432865
289,bihar,2018,2,Others,TOTAL,258711,300128082.6160458
290,bihar,2018,3,Peer-to-peer payments,TOTAL,8893764,18695889187.89432
291,bihar,2018,3,Recharge & bill payments,TOTAL,4401439,804061398.5166465
292,bihar,2018,3,Merchant payments,TOTAL,586862,367608510.7261781
293,bihar,2018,3,Financial Services,TOTAL,274510,33276460.45213346
294,bihar,2018,3,Others,TOTAL,211229,234968821.31206354
295,bihar,2018,4,Peer-to-peer payments,TOTAL,8094296,26224303882.80399
296,bihar,2018,4,Recharge & bill payments,TOTAL,5469096,986310785.0093702
297,bihar,2018,4,Merchant payments,TOTAL,1680664,848968693.0665624
298,bihar,2018,4,Financial Services,TOTAL,237247,36199427.51318769
299,bihar,2018,4,Others,TOTAL,251098,302214380.18458414
300,bihar,2019,1,Peer-to-peer payments,TOTAL,16807040,38824078062.32093
301,bihar,2019,1,Recharge & bill payments,TOTAL,7036367,1333688182.5386746
302,bihar,2019,1,Merchant payments,TOTAL,2055267,1024996999.5279309
303,bihar,2019,1,Financial Services,TOTAL,204689,28599535.734409343
304,bihar,2019,1,Others,TOTAL,252871,291464734.4043106
305,bihar,2019,2,Peer-to-peer payments,TOTAL,15837449,58381285240.80835
306,bihar,2019,2,Recharge & bill payments,TOTAL,9279442,1996804238.2749753
307,bihar,2019,2,Merchant payments,TOTAL,4365465,2308145849.844257
308,bihar,2019,2,Financial Services,TOTAL,129603,63338108.53755434
309,bihar,2019,2,Others,TOTAL,348520,382864846.0767575
310,bihar,2019,3,Peer-to-peer payments,TOTAL,15446119,61831776093.09613
311,bihar,2019,3,Recharge & bill payments,TOTAL,9115040,2140566974.705637
312,bihar,2019,3,Merchant payments,TOTAL,7206001,3413490288.3137074
313,bihar,2019,3,Financial Services,TOTAL,89997,20145460.42764103
314,bihar,2019,3,Others,TOTAL,282743,286804437.7358033
315,bihar,2019,4,Peer-to-peer payments,TOTAL,26337842,86340631422.24606
316,bihar,2019,4,Recharge & bill payments,TOTAL,11358597,2649616529.830146
317,bihar,2019,4,Merchant payments,TOTAL,5519582,4177574379.0405855
318,bihar,2019,4,Financial Services,TOTAL,100192,18815964.761792127
319,bihar,2019,4,Others,TOTAL,214101,126788281.9306988
320,bihar,2020,1,Peer-to-peer payments,TOTAL,23163922,99873688132.9031
321,bihar,2020,1,Recharge & bill payments,TOTAL,13837430,3680590624.9006104
322,bihar,2020,1,Merchant payments,TOTAL,7822567,5562692116.5708065
323,bihar,2020,1,Financial Services,TOTAL,57233,23954789.407903705
324,bihar,2020,1,Others,TOTAL,200663,115927863.46366584
325,bihar,2020,2,Peer-to-peer payments,TOTAL,26572651,116244368941.33606
326,bihar,2020,2,Recharge & bill payments,TOTAL,19522564,5642294772.453551
327,bihar,2020,2,Merchant payments,TOTAL,7011681,6760404421.62296
328,bihar,2020,2,Financial Services,TOTAL,73119,54077813.2606806
329,bihar,2020,2,Others,TOTAL,206727,105377680.17075577
330,bihar,2020,3,Peer-to-peer payments,TOTAL,37294332,153664683751.53278
331,bihar,2020,3,Recharge & bill payments,TOTAL,19027978,6313780616.601829
332,bihar,2020,3,Merchant payments,TOTAL,14777337,13111735855.02769
333,bihar,2020,3,Financial Services,TOTAL,104135,81355476.16367023
334,bihar,2020,3,Others,TOTAL,299966,157309412.49242482
335,bihar,2020,4,Peer-to-peer payments,TOTAL,49432098,208484557891.42865
